DIA,LINEA,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
7/1/2023,LÍNEA T-A,799,"1,799","2,191","2,235","1,742","1,622","1,647","1,939","2,389","2,391","2,547","2,445","2,522","2,488","2,456","1,976","1,672","1,479","1,006",3,"37,348"
8/1/2023,LÍNEA 1,425,"1,445","1,621","1,761","1,716","2,090","2,388","2,218","2,477","2,771","2,940","2,937","3,017","3,935","3,816","2,900","2,753","1,904",404,72,"43,590"
8/1/2023,LÍNEA 2,10,173,157,181,165,300,357,319,573,480,394,444,406,560,643,468,382,184,29,15,"6,240"
8/1/2023,LÍNEA A,"3,209","9,198","10,729","10,169","10,314","12,098","14,515","14,929","16,069","18,594","19,858","20,410","21,380","14,171","25,162","20,869","19,182","17,784","3,034",3,"281,677"
8/1/2023,LÍNEA B,558,"1,416","1,658","1,698","2,086","2,518","2,683","2,821","3,501","3,674","4,129","4,047","4,740","3,592","4,942","3,969","2,588","1,914",338,2,"52,874"
8/1/2023,LÍNEA H,,,,,6,109,101,86,51,63,62,80,101,82,128,74,57,50,1,,"1,051"
8/1/2023,LÍNEA J,,,,,,878,697,825,648,761,656,835,831,802,955,797,462,253,8,69,"9,477"
8/1/2023,LÍNEA K,,1,2,,506,"1,130","1,029","1,034","1,272","1,347","1,367","1,521","1,692","1,840","1,580","1,192",764,424,28,1,"16,730"
8/1/2023,LÍNEA L,,,,,176,491,846,972,"1,047","1,101",727,741,874,639,3,,,,,63,"7,680"
8/1/2023,LÍNEA M,,,,,,270,249,287,291,322,378,488,440,377,468,434,379,359,127,49,"4,918"
8/1/2023,LÍNEA O,31,239,271,243,206,234,324,297,278,254,336,274,335,487,422,320,339,306,55,4,"5,255"
8/1/2023,LÍNEA P,,,,,72,601,621,637,721,696,676,863,903,742,"1,026",777,512,340,22,9,"9,218"
8/1/2023,LÍNEA T-A,144,660,789,754,899,"1,169","1,340","1,368","1,526","1,614","1,914","1,966","2,169","1,586","2,091","1,774","1,707","1,522",482,1,"25,475"
9/1/2023,LÍNEA 1,427,"1,601","1,646","1,716","1,423","1,699","1,937","2,045","1,992","2,029","2,450","2,545","2,663","2,795","2,866","2,567","2,379","1,255",161,,"36,196"
9/1/2023,LÍNEA 2,10,186,197,239,155,261,286,266,290,302,313,355,382,405,505,410,291,171,17,,"5,041"
9/1/2023,LÍNEA A,"3,500.00","9,633.00","10,682.00","9,646.00","8,721","9,574","11,678","12,811","13,141","13,599","16,174","16,781","18,345","20,206","20,555","17,125","15,486","12,861","1,246",,"241,764"
9/1/2023,LÍNEA B,574,"1,552.00","1,729.00","1,611.00","1,466","1,926","2,252","2,686","2,874","2,800","3,050","3,074","3,521","3,749","3,651","2,801","2,066","1,459",174,,"43,015"
9/1/2023,LÍNEA H,,,,,3,88,86,79,85,68,54,60,83,55,46,65,31,8,1,,812
9/1/2023,LÍNEA J,,,,,18,628,435,629,528,505,501,564,718,621,758,580,406,170,5,,"7,066"
9/1/2023,LÍNEA K,,,,,414,789,915,943,995,937,"1,068","1,228","1,486","1,386","1,189",938,613,314,15,,"13,230"
9/1/2023,LÍNEA L,,,,,174,319,576,650,744,581,625,646,655,467,,,,,,,"5,437"
9/1/2023,LÍNEA M,,,,,,221,257,219,257,234,265,392,376,386,400,399,353,246,94,,"4,099"
9/1/2023,LÍNEA O,21,305,262,237,199,222,261,291,261,235,286,317,353,348,375,341,332,271,31,,"4,948"
9/1/2023,LÍNEA P,,,,,61,492,577,576,530,402,486,551,648,679,642,624,431,227,16,,"6,942"
9/1/2023,LÍNEA T-A,181,673,849,764,681,903,"1,187","1,244","1,338","1,377","1,438","1,628","1,729","1,930","1,851","1,650","1,502","1,242",296,,"22,463"
10/1/2023,LÍNEA 1,"2,472","6,214","8,812","8,185","5,306","4,762","4,182","4,006","4,278","4,279","4,914","5,306","6,837","8,927","7,139","4,317","3,004","2,358","1,197",,"96,495"
10/1/2023,LÍNEA 2,108,605,878,911,846,910,906,983,"1,041","1,100","1,257","1,459","1,846","2,132","1,757","1,179",655,451,184,,"19,208"
10/1/2023,LÍNEA A,"13,705.00","34,192.00","49,093.00","41,535.00","26,947","23,947","22,190","22,119","24,683","25,266","31,063","32,577","48,472","67,823","52,426","29,656","19,509","15,338","8,849",,"589,390"
10/1/2023,LÍNEA B,"2,593.00","5,618.00","7,619.00","6,533.00","4,221","3,945","3,601","3,711","3,969","3,922","4,329","4,601","5,955","8,677","6,473","3,892","2,615","1,896","1,001",,"85,171"
10/1/2023,LÍNEA H,137,121,397,270,136,134,114,108,104,93,65,74,69,63,43,31,38,17,6,,"2,020"
10/1/2023,LÍNEA J,"1,124","2,152","2,172","1,674","1,242",843,788,710,766,639,538,535,582,674,415,354,277,150,31,,"15,666"
10/1/2023,LÍNEA K,"2,207","2,724","2,680","2,087","1,606","1,260","1,033","1,074","1,275","1,015",792,772,946,802,715,589,564,292,99,,"22,532"
10/1/2023,LÍNEA M,281,619,752,534,353,247,281,251,306,291,332,454,510,805,963,772,462,286,263,,"8,762"
10/1/2023,LÍNEA O,194,763,"1,104.00",940,620,564,485,497,532,497,688,681,943,992,829,564,522,530,259,,"12,204"
10/1/2023,LÍNEA P,"1,009.00","2,163.00","2,583.00","1,841.00","1,018",831,568,591,831,642,565,598,661,663,576,446,415,232,92,,"16,325"
10/1/2023,LÍNEA T-A,794,"2,298","3,696","3,173","2,199","1,836","1,804","1,820","2,096","1,967","2,363","2,503","3,158","4,251","4,160","2,793","1,946","1,377",995,,"45,229"
11/1/2023,LÍNEA 1,"2,465.00","6,402.00","9,076.00","8,264.00","5,409","4,661","4,052","3,944","4,292","4,349","4,866","5,053","6,542","9,447","7,309","4,214","2,853","2,233","1,241",,"96,672"
11/1/2023,LÍNEA 2,133,706,838,978,750,891,890,968,"1,026",989,"1,225","1,354","1,662","1,996","1,628","1,157",730,450,187,37,"18,595"
11/1/2023,LÍNEA A,"14,685","35,219","49,937","41,839","26,738","23,425","22,322","22,890","25,226","25,110","31,356","31,296","47,958","71,063","51,458","28,728","19,293","14,579","8,296",4,"591,422"
11/1/2023,LÍNEA B,"2,726","5,868","7,794","6,679","4,371","4,006","3,777","3,652","4,057","4,127","4,379","4,882","6,162","8,844","6,378","2,444","2,623","1,750","1,019",,"85,538"
11/1/2023,LÍNEA H,173,402,344,285,146,156,115,93,108,91,79,62,48,43,48,37,24,14,1,3,"2,272"
11/1/2023,LÍNEA J,"1,134","2,223","2,195","1,706","1,225",959,801,737,626,694,591,510,527,599,391,219,192,136,28,33,"15,526"
11/1/2023,LÍNEA K,"1,663","2,817","2,662","2,119","1,603","1,344","1,130","1,155","1,456","1,133",908,869,983,"1,064",667,501,534,254,63,2,"22,927"
11/1/2023,LÍNEA L,,,,,,130,248,271,309,319,243,256,257,217,,,,,,27,"2,277"
11/1/2023,LÍNEA M,273,672,749,588,325,281,232,251,284,247,332,396,490,824,"1,076",640,410,298,271,53,"8,692"
11/1/2023,LÍNEA O,180,841,"1,091","1,063",573,508,498,390,531,682,741,766,966,800,733,648,443,422,224,,"12,100"
11/1/2023,LÍNEA P,"1,102","2,349","2,558","1,820","1,091",788,775,683,862,713,592,521,517,666,485,415,378,180,89,7,"16,591"
